state,name,legal_name,address,city,zip,county,license,phone,source
OR,Portland Pot shop,Portland Pot shop,,,,Multnomah,050-10041804D94,,OR state data
OR,Bridge City Collective,Bridge City Collective,,,,Multnomah,050-10041989EBF,,OR state data
OR,Sweet Tree Farms,Sweet Tree Farms,,,,Lane,050-10042166E81,,OR state data
OR,Western Oregon Dispensary Inc,Western Oregon Dispensary Inc,,,,Yamhill,050-10042907A13,,OR state data
OR,The Grass Hut II,The Grass Hut II,,,,Marion,050-10044492D86,,OR state data
OR,Substance,Substance,,,,Deschutes,050-10044860EA3,,OR state data
OR,SMOKE ON THE MOUNTAIN LLC,SMOKE ON THE MOUNTAIN LLC,,,,Clackamas,050-10045349EFC,,OR state data
OR,Natural Remedies,Natural Remedies,,,,Multnomah,050-10045414F9E,,OR state data
OR,World Famous Top Shelf Cannabis,World Famous Top Shelf Cannabis,,,,Curry,050-10047520A20,,OR state data
OR,The People's Wellness Center,The People's Wellness Center,,,,Lane,050-10049104CFE,,OR state data
OR,The Green Planet,The Green Planet,,,,Washington,050-10050307AF1,,OR state data
OR,Cannabis Nation Sunriver,Cannabis Nation Sunriver,,,,Deschutes,050-10050484E34,,OR state data
OR,Emerald Triangle Dispensary,Emerald Triangle Dispensary,,,,Jackson,050-10050834F0C,,OR state data
OR,Attis Trading Company,Attis Trading Company,,,,Multnomah,050-10051193A0E,,OR state data
OR,Kaleafa Gresham,Kaleafa Gresham,,,,Multnomah,050-10051364EB2,,OR state data
OR,Premium Choice Marijuana,Premium Choice Marijuana,,,,Lane,050-10052557A5E,,OR state data
OR,Capitol Green Leaf,Capitol Green Leaf,,,,Marion,050-10052560FB5,,OR state data
OR,Stateline Cannabis,Stateline Cannabis,,,,Curry,050-10052669AAA,,OR state data
OR,Cannabis Corner,Cannabis Corner,,,,Multnomah,050-10052863E43,,OR state data
OR,Diamond Cannabis,Diamond Cannabis,,,,Josephine,050-10053021A3C,,OR state data
OR,Herbal Choices,Herbal Choices,,,,Coos,050-10053170B53,,OR state data
OR,Cannasource,Cannasource,,,,Multnomah,050-10053314FB4,,OR state data
OR,KIND LEAF PENDLETON,KIND LEAF PENDLETON,,,,Umatilla,050-10053577FB7,,OR state data
OR,Green Cross Dispensary,Green Cross Dispensary,,,,Linn,050-10055307DA2,,OR state data
OR,Papa's Dispensary,Papa's Dispensary,,,,Josephine,050-10055477B6C,,OR state data
OR,Kush Cart,Kush Cart,,,,Multnomah,050-10055625B58,,OR state data
OR,green stop meds,green stop meds,,,,Clackamas,050-10056731BDF,,OR state data
OR,BUD BROS LLC,BUD BROS LLC,,,,Josephine,050-10056960FF0,,OR state data
OR,Wild West Emporium,Wild West Emporium,,,,Clackamas,050-10060518DA7,,OR state data
OR,Green Mountain Fire,Green Mountain Fire,,,,Multnomah,050-10064647FD2,,OR state data
OR,Nectar,Nectar,,,,Multnomah,050-10067226DF1,,OR state data
OR,BudMart,BudMart,,,,Curry,050-10067366FA8,,OR state data
OR,Floyd's Fine Cannabis,Floyd's Fine Cannabis,,,,Multnomah,050-10068514E68,,OR state data
OR,High 5 Cannabis,High 5 Cannabis,,,,Lane,050-10068739F36,,OR state data
OR,Diem,Diem,,,,Multnomah,050-10070593E9E,,OR state data
OR,Bahama Buds,Bahama Buds,,,,Coos,050-10073803B80,,OR state data
OR,Kaleafa,Kaleafa,,,,Jackson,050-10075721DCC,,OR state data
OR,Oregrown Eugene,Oregrown Eugene,,,,Lane,050-10076228AAB,,OR state data
OR,La Mota Lebanon 2 LLC,La Mota Lebanon 2 LLC,,,,Linn,050-10076627A48,,OR state data
OR,Mr. Nice Guy Salem,Mr. Nice Guy Salem,,,,Marion,050-10079072E3A,,OR state data
OR,Nectar,Nectar,,,,Washington,050-10081197FAB,,OR state data
OR,The Dime Store,The Dime Store,,,,Multnomah,050-10082411AE5,,OR state data
OR,Sweet Relief Gearhart,Sweet Relief Gearhart,,,,Clatsop,050-10083622BC7,,OR state data
OR,Natural High,Natural High,,,,Coos,050-10084881C6D,,OR state data
OR,Nectar,Nectar,,,,Washington,050-10087509BD5,,OR state data
OR,OG Collective,OG Collective,,,,Polk,050-10088445D61,,OR state data
OR,kaleafa,kaleafa,,,,Multnomah,050-10088926F6F,,OR state data
OR,Top Shelf Medicine 2,Top Shelf Medicine 2,,,,Benton,050-10091572D9A,,OR state data
OR,Silver Creek Dispensary,Silver Creek Dispensary,,,,Marion,050-10096429A3B,,OR state data
OR,Blazen Cannabis,Blazen Cannabis,,,,Harney,050-10097447A5F,,OR state data
OR,The Canna Shoppe,The Canna Shoppe,,,,Multnomah,050-10099690C5E,,OR state data
OR,Nectar,Nectar,,,,Multnomah,050-10100114EFC,,OR state data
OR,Truth Dispensary,Truth Dispensary,,,,Marion,050-10103753D2B,,OR state data
OR,Nebula Cannabis,Nebula Cannabis,,,,Multnomah,050-10104115CC6,,OR state data
OR,La Mota Sweet Home LLC,La Mota Sweet Home LLC,,,,Linn,050-10106545CBB,,OR state data
OR,Canna Bros. Stayton,Canna Bros. Stayton,,,,Marion,050-10107001EDC,,OR state data
OR,Oregon Bud Company,Oregon Bud Company,,,,Multnomah,050-10109202F8F,,OR state data
OR,"Nectar Markets, LLC","Nectar Markets, LLC",,,,Clackamas,050-10109253AEE,,OR state data
OR,Western Oregon Dispensary,Western Oregon Dispensary,,,,Washington,050-10110469A34,,OR state data
OR,GREEN KNOTTZ CHILOQUIN,GREEN KNOTTZ CHILOQUIN,,,,Klamath,050-10112361D93,,OR state data
OR,La Mota Courts LLC,La Mota Courts LLC,,,,Jackson,050-10112894E36,,OR state data
OR,Power Plant,Power Plant,,,,Multnomah,050-10113069B02,,OR state data
OR,Hashstoria,Hashstoria,,,,Lane,050-10114859E17,,OR state data
OR,WeedAgain,WeedAgain,,,,Marion,050-10114946F80,,OR state data
OR,Electric Lettuce Hillsboro,Electric Lettuce Hillsboro,,,,Washington,050-10114962EEF,,OR state data
OR,Redbarn Dispensary,Redbarn Dispensary,,,,Douglas,050-10116104A8C,,OR state data
OR,Electric Lettuce Eugene,Electric Lettuce Eugene,,,,Lane,050-10116834C7B,,OR state data
OR,Rocky Mtn Dispensary,Rocky Mtn Dispensary,,,,Grant,050-10117317F08,,OR state data
OR,Bahama Buds,Bahama Buds,,,,Clatsop,050-10124193FBD,,OR state data
OR,Hotbox Farms,Hotbox Farms,,,,Malheur,050-10124660E00,,OR state data
OR,Redbarn Dispensary,Redbarn Dispensary,,,,Coos,050-10124861F1E,,OR state data
OR,"Nectar Markets, LLC","Nectar Markets, LLC",,,,Multnomah,050-10126270C7D,,OR state data
OR,"Nectar Markets, LLC","Nectar Markets, LLC",,,,Washington,050-10126352F60,,OR state data
OR,Cannabis & Glass,Cannabis & Glass,,,,Malheur,050-10127857D22,,OR state data
OR,"Today's Herbal Choice Stayton, LLC","Today's Herbal Choice Stayton, LLC",,,,Marion,050-10129165BBF,,OR state data
OR,Growing Releaf Salem,Growing Releaf Salem,,,,Marion,050-10134898DE3,,OR state data
OR,The Green Planet,The Green Planet,,,,Washington,050-10137563D3B,,OR state data
OR,Electric Lettuce Foster-Powell,Electric Lettuce Foster-Powell,,,,Multnomah,050-10140374FF8,,OR state data
OR,Five Zero Trees Portland West,Five Zero Trees Portland West,,,,Multnomah,050-10140556CE8,,OR state data
OR,Electric Lettuce Damascus,Electric Lettuce Damascus,,,,Clackamas,050-10140566C3D,,OR state data
OR,Electric Lettuce Kerns,Electric Lettuce Kerns,,,,Multnomah,050-10140881D51,,OR state data
OR,Seaweed Reef,Seaweed Reef,,,,Lincoln,050-10143394D2C,,OR state data
OR,Eden,Eden,,,,Multnomah,050-10144956F3E,,OR state data
OR,TJ's on Powell,TJ's on Powell,,,,Multnomah,050-10146522DCF,,OR state data
OR,La Mota,La Mota,,,,Washington,050-10151012B93,,OR state data
OR,Sweet Leaf Cannabis,Sweet Leaf Cannabis,,,,Lane,050-10152657D49,,OR state data
OR,"Today's Herbal Choice Milwaukie, LLC","Today's Herbal Choice Milwaukie, LLC",,,,Clackamas,050-10153550A2B,,OR state data
OR,LUCKY LION,LUCKY LION,,,,Multnomah,050-10157025C26,,OR state data
